id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	135	31	104	135	208	0
2	1	239	239	275	33	3	36	6	0
3	1	291	291	316	25	0	25	0	0
4	0	527	527	584	32	10	57	35	0
5	1	562	562	635	55	18	73	36	0
8	1	675	675	767	46	6	92	52	0
7	2	665	665	818	65	12	153	100	0
6	3	643	643	829	75	0	186	111	0
9	1	963	963	1002	35	4	39	8	0
10	0	1244	1244	1246	2	0	2	0	0
11	1	1376	1376	1407	31	0	31	0	0
12	0	1498	1498	1542	15	1	44	30	0
14	2	1611	1611	1662	46	5	51	10	0
13	4	1511	1511	1677	116	2	166	52	0
15	0	1678	1678	1684	4	2	6	4	0
16	2	1859	1859	1993	65	46	134	115	0
17	4	1961	1961	2116	128	27	155	54	0
18	0	2629	2629	2630	1	0	1	0	0
19	2	2928	2928	2986	58	0	58	0	0
21	0	3042	3042	3067	12	13	25	26	0
20	2	2993	2993	3109	67	37	116	86	0
22	2	3222	3222	3267	45	0	45	0	0
23	0	3412	3412	3438	24	2	26	4	0
24	5	3783	3783	3910	117	10	127	20	0
25	0	3954	3954	3957	3	0	3	0	0
27	0	4163	4163	4180	17	0	17	0	0
26	2	4094	4094	4192	76	5	98	27	0
28	0	4334	4334	4345	11	0	11	0	0
29	2	4512	4512	4570	51	7	58	14	0
30	2	4856	4856	4913	50	7	57	14	0
0	0	0	0	4913	3577	0	4913	1336	0
