id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	50	38	12	50	24	0
2	0	67	67	153	47	38	86	77	0
3	0	149	149	262	91	22	113	44	0
4	0	323	323	325	2	0	2	0	0
5	0	417	417	479	44	14	62	32	0
6	0	470	470	573	81	22	103	44	0
7	0	733	733	779	38	8	46	16	0
9	0	907	907	974	16	31	67	82	0
8	0	817	817	1019	115	63	202	150	0
10	0	940	940	1036	35	23	96	84	0
11	0	1105	1105	1201	64	32	96	64	0
12	0	1206	1206	1243	17	20	37	40	0
14	0	1340	1340	1368	20	8	28	16	0
13	0	1316	1316	1371	35	0	55	20	0
15	0	1403	1403	1424	21	0	21	0	0
17	0	1510	1510	1511	1	0	1	0	0
16	0	1508	1508	1540	31	0	32	1	0
18	0	1751	1751	1784	20	13	33	26	0
19	0	1854	1854	1870	11	5	16	10	0
20	0	1951	1951	1964	13	0	13	0	0
22	0	2024	2024	2091	39	8	67	36	0
23	0	2105	2105	2147	22	0	42	20	0
21	0	1989	1989	2178	125	3	189	67	0
25	0	2206	2206	2215	9	0	9	0	0
24	0	2189	2189	2427	153	44	238	129	0
26	0	2344	2344	2433	47	4	89	46	0
27	0	2513	2513	2606	63	30	93	60	0
29	0	2694	2694	2802	61	2	108	49	0
30	0	2717	2730	2814	23	13	97	87	13
28	0	2693	2693	2923	99	47	230	178	0
0	0	0	0	2923	1542	0	2923	1381	0
