id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	50	38	12	50	24	0
2	0	100	100	185	47	38	85	76	0
3	0	223	223	336	91	22	113	44	0
4	0	484	484	486	2	0	2	0	0
5	0	625	625	683	44	14	58	28	0
6	0	704	704	807	81	22	103	44	0
7	0	1099	1099	1145	38	8	46	16	0
8	0	1224	1224	1402	115	63	178	126	0
9	0	1359	1367	1414	16	31	55	70	8
10	0	1408	1414	1472	35	23	64	52	6
11	0	1656	1656	1752	64	32	96	64	0
12	0	1807	1807	1844	17	20	37	40	0
13	0	1972	1972	2007	35	0	35	0	0
14	0	2008	2008	2036	20	8	28	16	0
15	0	2102	2102	2123	21	0	21	0	0
16	0	2260	2260	2291	31	0	31	0	0
17	0	2263	2291	2292	1	0	29	28	28
18	0	2624	2624	2657	20	13	33	26	0
19	0	2778	2778	2794	11	5	16	10	0
20	0	2923	2923	2936	13	0	13	0	0
21	0	2980	2980	3129	125	3	149	27	0
22	0	3032	3092	3144	39	8	112	81	60
23	0	3154	3154	3176	22	0	22	0	0
25	0	3305	3346	3355	9	0	50	41	41
24	0	3280	3280	3478	153	44	198	89	0
26	0	3511	3511	3562	47	4	51	8	0
27	0	3764	3764	3857	63	30	93	60	0
29	0	4035	4086	4167	61	2	132	73	51
30	0	4070	4119	4179	23	13	109	99	49
28	0	4034	4034	4219	99	47	185	133	0
0	0	0	0	4219	2838	0	4219	1381	0
