id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	6	0	0	44	38	6	44	12	0
2	5	163	163	166	3	0	3	0	0
3	5	214	214	221	7	0	7	0	0
4	5	325	325	380	55	0	55	0	0
5	4	452	452	476	10	14	24	28	0
6	5	536	536	545	9	0	9	0	0
7	4	548	548	709	86	75	161	150	0
9	5	837	840	879	39	0	42	3	3
8	6	825	825	923	24	74	98	148	0
10	8	1177	1177	1267	74	16	90	32	0
11	5	1257	1267	1275	8	0	18	10	10
12	5	1454	1454	1474	20	0	20	0	0
13	5	1492	1492	1520	28	0	28	0	0
15	20	1576	1587	1672	47	38	96	87	11
14	24	1575	1575	1769	86	87	194	195	0
18	5	1788	1803	1806	3	0	18	15	15
16	3	1646	1646	1858	53	158	212	317	0
19	5	1811	1858	1876	18	0	65	47	47
22	6	1860	1902	1988	65	20	128	83	42
20	13	1829	1909	2047	80	47	218	185	80
17	14	1781	1781	2081	42	12	300	270	0
24	5	2061	2081	2100	19	0	39	20	20
21	36	1850	1876	2237	123	19	387	283	26
23	8	2008	2047	2243	23	115	235	327	39
25	16	2104	2105	2252	44	36	148	140	1
26	4	2224	2237	2287	10	40	63	93	13
27	23	2660	2660	2845	71	1	185	115	0
29	33	2733	2735	2854	70	4	121	55	2
28	19	2689	2700	2869	68	43	180	155	11
30	27	3176	3176	3266	74	16	90	32	0
0	0	0	0	3266	1969	0	3266	1297	0
